run,  run_length, dqm_ctag_inst, subruns, nearline_ctag_total
24895 0.0364583333721 454.205769231 299 19459734.4403
24901 0.0125231482089 421.538888889 102 5922199.33333
24902 0.00454861111939 420.557142857 37 2162183.8
24903 0.0222453704337 347.628125 176 9037110.72
24905 0.0129513889551 311.961111111 104 4613332.41379
24906 0.0026851851726 329.35 21 980370.3
24907 0.00281249999534 342.325 22 985289.25
24908 0.00273148145061 389.075 22 1155584.0
24909 0.00260416662786 393.125 21 1201756.5
24910 0.00318287033588 431.72 26 1557235.0
24916 0.00432870374061 421.266666667 35 2152949.16667
24917 0.00412037037313 424.25 33 2041699.0
24918 0.0016087963013 418.5 13 805157.888889
24919 0.00152777775656 476.833333333 12 769511.0
24920 0.0563194444403 466.702517358 495 34118617.5
24921 0.031342592556 413.830168444 257 16488721.4638
24923 0.0257638889598 457.075675676 216 13951070.137
24925 0.0598726851167 459.870930233 496 31736540.9231
24926 0.0164120370755 452.679166667 135 8720379.40299
24927 0.0229976852424 448.53030303 188 12299951.8621
24928 0.0646527777426 265.60609428 496 29100828.4
24929 0.0621643518098 392.030222222 496 32198219.9149
24935 0.0597569445381 460.186046512 496 31722529.6696
24936 0.0607060184702 389.017884716 496 28918838.0198
24937 0.0598842593608 453.522093023 496 32010800.7619
24938 0.0170370370615 455.2125 139 8707425.65
24939 0.0592939815251 456.304705882 496 32033593.8586
24940 0.0600462963339 431.524418605 496 32311258.6667
24941 0.0604398148134 447.124137931 496 30922643.6436
24942 0.0499999999302 447.997222222 409 26149350.5906
24943 0.0147453703685 467.742857143 128 8299749.33333
24946 0.00582175923046 453.466666667 49 3126464.17391
24947 0.0576157408068 442.849518072 496 31737689.1057
24948 0.0595833333209 460.3 496 32887776.0
24949 0.00666666671168 435.311111111 55 3134486.66667
24951 0.0604861110914 433.713636364 496 31668175.4419
24952 0.0592013888527 452.713953488 497 32496045.2222
24953 0.0138541666092 373.0875 111 6488166.79688
24956 0.0277430554852 455.9875 229 14425540.4699
24957 0.0606481481809 439.789525517 497 31811534.2222
24958 0.00850694440305 445.15 70 4390107.27273
24960 0.0271990740439 451.187179487 224 14577103.7288
24961 0.0604976852192 453.131034483 497 32580963.5345
24962 0.0595486110542 456.563953488 497 32654771.4198
24963 0.0605787037639 436.611494253 497 31236561.9369
24964 0.0634837963153 347.602658824 496 29410812.125
24965 0.0612615740392 428.614772727 496 30764388.4651
24966 0.021215277724 447.629032258 177 11501851.5455
24967 0.00500000000466 384.842857143 40 2139040.0
24968 0.0611458333442 420.937034091 496 30764668.2449
24969 0.04581018514 414.275757576 369 22799633.625
24970 0.0595833333209 448.809302326 495 31714443.0
24971 0.0580902777147 407.593183301 496 33079232.0
24972 0.016226851847 426.995652174 132 8402190.0
24973 0.0433101851959 288.665585613 336 20015731.0769
24974 0.00417824077886 443.583333333 34 2188967.6
24975 0.062060185126 398.339220133 496 29042642.2857
24976 0.0610532407882 429.553409091 496 32036751.2523
24977 0.060787037015 444.632954545 496 30952974.7416
24978 0.0167939814273 433.379166667 136 8133870.69091
24979 0.0615046296734 417.952272727 496 30157441.8824
24981 0.0613888889784 422.027752809 496 30655487.6279
